-1	-1	0	-5	1	0	-2	-2	
-1	-2	-3	2	-1	1	-1	-1	
0	3	1	0	2	0	-2	0	
-1	-1	-1	-1	0	-2	-1	0	
-5	1	1	1	-2	-1	-1	-1	
-2	1	1	0	-1	0	-2	-1	
-2	-1	-3	-2	-1	-1	-1	0	
0	-3	-2	0	-3	0	0	2	
-2	-4	1	3	0	0	-1	-3	
0	-1	-1	-3	-2	-1	-1	-1	
-1	-2	0	0	0	0	0	-1	
-1	-1	-2	0	-1	-1	-2	-2	
1	-1	-1	-1	-2	-2	0	0	
-3	1	3	5	3	1	-2	-3	
0	0	1	-2	-2	0	-1	-2	
-2	-8	-2	-1	0	-1	0	-2	
-2	3	0	0	-2	-1	1	0	
0	-1	-4	-2	0	-1	-1	1	
1	0	-1	0	-1	-2	0	1	
2	1	0	-1	-1	-1	-2	0	
-2	-12	-3	0	-1	-2	0	-2	
0	-1	0	-2	-2	-2	-1	0	
0	0	-5	-3	-1	-1	0	0	
-1	3	2	0	0	0	0	-2	
0	-3	0	0	0	-1	0	0	
0	1	-6	-2	0	-1	0	-2	
-2	-2	5	-1	-2	-1	-1	-2	
-1	-1	-4	-1	-1	0	-3	2	
2	2	-1	-2	0	-1	-1	1	
-1	-2	-2	-3	-1	0	-1	-1	
-1	1	-2	0	0	-1	-1	-1	
-4	0	-2	-2	0	-1	0	-1	
-1	0	-6	1	-1	-1	-2	-1	
-3	-3	18	-3	-3	-2	-1	-2	
-1	-1	-3	-1	0	0	-1	0	
0	0	1	0	-2	-2	-1	-1	
1	-2	-4	-1	0	-1	0	-1	
1	1	-8	0	-1	-2	-1	1	
-1	0	0	0	-1	0	0	0	
-1	-1	1	-2	-1	-1	1	-2	
0	0	2	-3	0	2	-2	2	
0	1	-7	-1	-1	-1	1	-1	
-4	-2	8	1	-1	-3	1	-1	
0	0	-3	-1	-1	-2	-1	-2	
0	-3	0	-3	-1	0	-1	-1	
-2	-1	-6	-1	-2	-1	-1	1	
-2	4	0	1	-1	1	-1	0	
